Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0616,Otu0790,0.304604,0.0257,0.227219326,0.304604,1
Otu0616,Otu0792,0.378356,0.00665,0.13566,0.378356,1
Otu0616,Otu0795,0.306703,0.02668,0.229976496,0.306703,1
Otu0616,Otu0796,0.293557,0.02955,0.235075541,0.293557,1
Otu0616,Otu0797,0.37194,0.00769,0.139693636,0.37194,1
Otu0616,Otu0968,-0.205683,0.03546,0.253638967,0.205683,1
Otu0664,Otu0669,0.294889,0.02571,0.227219326,0.294889,1
Otu0664,Otu0691,0.354768,0.00854,0.14413554,0.354768,1
Otu0664,Otu0711,-0.189982,0.03864,0.262196012,0.189982,0
Otu0664,Otu0716,-0.233103,0.03839,0.261810872,0.233103,1
Otu0664,Otu0790,0.343077,0.01319,0.171089503,0.343077,1
Otu0664,Otu0792,0.298563,0.02746,0.231730791,0.298563,1
Otu0664,Otu0795,0.408086,0.00396,0.10557,0.408086,2
Otu0664,Otu0797,0.322406,0.01774,0.201053333,0.322406,1
Otu0664,Otu0804,0.383299,0.00618,0.132517297,0.383299,1
Otu0664,Otu1149,-0.239468,0.00934,0.147057987,0.239468,1
Otu0664,Otu1404,0.265465,0.03677,0.257367965,0.265465,1
Otu0664,Otu1840,0.379794,0.00406,0.107019775,0.379794,1
Otu0664,Otu1858,-0.214486,0.02162,0.213111429,0.214486,1
Otu0669,Otu0691,0.330724,0.016,0.191510204,0.330724,1
Otu0669,Otu0705,-0.335156,0.00088,0.054181429,0.335156,1
Otu0669,Otu0711,-0.235867,0.01657,0.1949526,0.235867,1
Otu0669,Otu0800,-0.255139,0.01789,0.201778558,0.255139,1
Otu0669,Otu0915,0.269116,0.04056,0.267900167,0.269116,1
Otu0669,Otu1149,-0.184773,0.03702,0.257367965,0.184773,0
Otu0669,Otu1840,0.392083,0.00366,0.103660465,0.392083,1
Otu0669,Otu1858,-0.382674,0.00012,0.017595,0.382674,1
Otu0669,Otu1891,0.357974,0.01011,0.151599114,0.357974,1
Otu0669,Otu1907,0.32045,0.01267,0.167931186,0.32045,1
Otu0669,Otu1932,0.421356,0.00179,0.068841639,0.421356,2
Otu0669,Otu1947,-0.252837,0.0242,0.224717244,0.252837,1
Otu0691,Otu0705,-0.202153,0.02586,0.227219326,0.202153,1
Otu0691,Otu0711,-0.216133,0.02526,0.22713954,0.216133,1
Otu0691,Otu0716,-0.238567,0.03892,0.263130605,0.238567,1
Otu0691,Otu0792,0.358882,0.01072,0.157182,0.358882,1
Otu0691,Otu0795,0.315629,0.02343,0.22075012,0.315629,1
Otu0691,Otu0796,0.303269,0.02729,0.231127581,0.303269,1
