Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0302,Otu0552,-0.385238,0.00147,0.110901818,0.385238,1
Otu0302,Otu0800,-0.207528,0.03795,0.323748,0.207528,1
Otu0302,Otu0967,0.323332,0.01254,0.235893071,0.323332,1
Otu0302,Otu1411,-0.222129,0.04676,0.338577037,0.222129,1
Otu0302,Otu1887,0.315504,0.03077,0.295464096,0.315504,1
Otu0302,Otu1907,-0.385984,0.00058,0.064794286,0.385984,1
Otu0302,Otu1947,-0.301412,0.01536,0.248676,0.301412,1
Otu0309,Otu0716,-0.343004,0.0117,0.235893071,0.343004,1
Otu0309,Otu0745,-0.382651,0.0072,0.21201975,0.382651,1
Otu0309,Otu0776,-0.451445,0.00156,0.110901818,0.451445,2
Otu0309,Otu0817,0.560511,0.00039,0.05083,0.560511,2
Otu0309,Otu0886,-0.235046,0.02532,0.282621408,0.235046,1
Otu0309,Otu0915,0.452429,0.00465,0.17595,0.452429,2
Otu0309,Otu0918,0.459317,0.00406,0.170085,0.459317,2
Otu0309,Otu0968,0.311753,0.02205,0.271187876,0.311753,1
Otu0309,Otu1404,0.345763,0.01246,0.235893071,0.345763,1
Otu0309,Otu1717,-0.255669,0.04886,0.343922418,0.255669,1
Otu0309,Otu1891,0.282074,0.04953,0.343922418,0.282074,1
Otu0314,Otu0616,-0.281762,0.0355,0.312683284,0.281762,1
Otu0314,Otu0664,-0.277654,0.03055,0.295464096,0.277654,1
Otu0314,Otu0691,-0.345018,0.01176,0.235893071,0.345018,1
Otu0314,Otu0776,-0.294947,0.04006,0.328604056,0.294947,1
Otu0314,Otu0795,-0.415676,0.00464,0.17595,0.415676,2
Otu0314,Otu0796,-0.353611,0.01528,0.248676,0.353611,1
Otu0314,Otu0804,-0.299365,0.0352,0.312683284,0.299365,1
Otu0314,Otu0805,-0.389767,0.00792,0.21505,0.389767,1
Otu0314,Otu0817,0.295035,0.04481,0.337191536,0.295035,1
Otu0314,Otu0968,0.311554,0.01875,0.266590909,0.311554,1
Otu0314,Otu1887,0.482038,0.00189,0.119836216,0.482038,2
Otu0314,Otu1897,0.304976,0.01034,0.230941101,0.304976,1
Otu0348,Otu0501,-0.218734,0.0029,0.141238776,0.218734,1
Otu0348,Otu0728,-0.218241,0.04875,0.343922418,0.218241,1
Otu0348,Otu0772,-0.233215,0.04066,0.328925379,0.233215,1
Otu0348,Otu0776,-0.280316,0.01686,0.251933503,0.280316,1
Otu0348,Otu0809,0.259617,0.04633,0.338577037,0.259617,1
Otu0348,Otu1703,-0.185967,0.04572,0.337191536,0.185967,0
Otu0348,Otu1797,-0.235743,0.01441,0.24497,0.235743,1
Otu0348,Otu1858,-0.186678,0.03113,0.295464096,0.186678,0
Otu0348,Otu1891,0.313466,0.01663,0.251933503,0.313466,1
Otu0348,Otu1897,0.316959,0.0043,0.170979661,0.316959,1
Otu0348,Otu1900,0.336522,0.00755,0.21505,0.336522,1
Otu0348,Otu1947,0.255273,0.03485,0.312683284,0.255273,1
Otu0465,Otu0501,0.277509,0.00353,0.159257308,0.277509,1
Otu0465,Otu0528,-0.206234,0.02991,0.294827143,0.206234,1
Otu0465,Otu0599,0.247551,0.02949,0.294827143,0.247551,1
Otu0465,Otu0886,0.231782,0.02658,0.286900734,0.231782,1
Otu0465,Otu0918,0.257204,0.03937,0.327287579,0.257204,1
Otu0465,Otu1411,0.226289,0.04449,0.337191536,0.226289,1
Otu0465,Otu1797,0.279396,0.01616,0.251933503,0.279396,1
Otu0465,Otu1891,-0.236069,0.0206,0.269532198,0.236069,1
Otu0465,Otu1900,-0.179679,0.04113,0.329320751,0.179679,0
Otu0465,Otu1915,-0.216157,0.01899,0.266769701,0.216157,1
Otu0465,Otu1985,-0.223905,0.01207,0.235893071,0.223905,1
Otu0501,Otu0528,-0.16522,0.03605,0.314398885,0.16522,0
Otu0501,Otu0711,-0.16426,0.02073,0.269532198,0.16426,0
Otu0501,Otu0716,-0.222072,0.00825,0.21505,0.222072,1
Otu0501,Otu0790,-0.16406,0.04393,0.337191536,0.16406,0
Otu0501,Otu0918,0.235838,0.03136,0.295464096,0.235838,1
Otu0501,Otu0945,-0.185545,0.02507,0.282621408,0.185545,0
Otu0501,Otu0968,0.213455,0.03178,0.297035378,0.213455,1
Otu0501,Otu1149,0.193887,0.02787,0.291381504,0.193887,0
Otu0501,Otu1501,0.37047,0.00019,0.031838571,0.37047,1
Otu0501,Otu1797,0.250713,0.01375,0.241029778,0.250713,1
Otu0501,Otu1915,-0.199618,0.00978,0.22494,0.199618,0
Otu0501,Otu1937,-0.196615,0.01125,0.235856786,0.196615,0
Otu0528,Otu0552,-0.316265,0.00512,0.181815,0.316265,1
Otu0528,Otu0599,-0.205171,0.04186,0.331046667,0.205171,1
Otu0528,Otu0711,0.27448,0.03396,0.311735019,0.27448,1
Otu0528,Otu0745,0.346131,0.01675,0.251933503,0.346131,1
Otu0528,Otu0804,0.296484,0.0452,0.337191536,0.296484,1
Otu0528,Otu0805,0.288571,0.04937,0.343922418,0.288571,1
Otu0528,Otu0918,-0.415632,0.00283,0.141238776,0.415632,2
Otu0528,Otu1411,-0.210786,0.04585,0.337191536,0.210786,1
Otu0528,Otu1891,0.385656,0.00892,0.220277053,0.385656,1
Otu0552,Otu0918,0.295188,0.03111,0.295464096,0.295188,1
Otu0552,Otu1411,0.417322,9.00E-04,0.089495556,0.417322,2
Otu0552,Otu1797,0.263945,0.0355,0.312683284,0.263945,1
Otu0552,Otu1887,-0.293098,0.01061,0.230941101,0.293098,1
Otu0552,Otu1985,-0.252339,0.01271,0.235893071,0.252339,1
Otu0599,Otu0886,0.243289,0.02561,0.282621408,0.243289,1
Otu0599,Otu0967,0.361135,0.00236,0.130939535,0.361135,1
Otu0599,Otu0968,-0.299195,0.00293,0.141238776,0.299195,1
Otu0599,Otu1411,0.335292,0.00527,0.181815,0.335292,1
Otu0599,Otu1661,0.326849,0.00709,0.21201975,0.326849,1
Otu0599,Otu1900,-0.187673,0.04658,0.338577037,0.187673,0
Otu0599,Otu1937,-0.190702,0.04186,0.331046667,0.190702,0
Otu0616,Otu0711,-0.26524,0.02398,0.278977537,0.26524,1
Otu0616,Otu0745,0.371007,0.01126,0.235856786,0.371007,1
Otu0616,Otu0817,-0.309693,0.02335,0.275861307,0.309693,1
Otu0616,Otu1109,-0.201852,0.04046,0.328925379,0.201852,1
Otu0616,Otu1661,0.257221,0.04982,0.343922418,0.257221,1
Otu0616,Otu1717,0.366709,0.00988,0.225033786,0.366709,1
Otu0616,Otu1853,-0.404499,0.00102,0.089495556,0.404499,2
Otu0616,Otu1915,-0.320106,0.00688,0.209616623,0.320106,1
Otu0664,Otu0691,0.343747,0.01988,0.269532198,0.343747,1
Otu0664,Otu0728,0.351854,0.01708,0.253486038,0.351854,1
Otu0664,Otu0792,0.377078,0.01173,0.235893071,0.377078,1
Otu0664,Otu0795,0.333381,0.02487,0.28186,0.333381,1
Otu0664,Otu0796,0.293926,0.04418,0.337191536,0.293926,1
Otu0664,Otu0797,0.313997,0.03134,0.295464096,0.313997,1
Otu0664,Otu0801,0.31889,0.02896,0.294827143,0.31889,1
Otu0664,Otu0805,0.412335,0.0065,0.200644737,0.412335,2
Otu0664,Otu1887,-0.292367,0.01669,0.251933503,0.292367,1
Otu0664,Otu1895,-0.199575,0.04522,0.337191536,0.199575,0
Otu0664,Otu1897,-0.237404,0.01252,0.235893071,0.237404,1
Otu0669,Otu0691,0.303723,0.03827,0.32412065,0.303723,1
Otu0669,Otu0705,-0.292003,0.01073,0.230941101,0.292003,1
Otu0669,Otu0797,0.423568,0.00555,0.187344857,0.423568,2
Otu0669,Otu0801,0.319086,0.03109,0.295464096,0.319086,1
Otu0669,Otu1149,-0.27179,0.00252,0.134361818,0.27179,1
Otu0669,Otu1501,-0.206684,0.0456,0.337191536,0.206684,1
Otu0669,Otu1661,-0.259649,0.0254,0.282621408,0.259649,1
Otu0669,Otu1917,0.287816,0.02038,0.269532198,0.287816,1
Otu0669,Otu1957,0.283441,0.03824,0.32412065,0.283441,1
Otu0691,Otu0795,0.324443,0.03555,0.312683284,0.324443,1
Otu0691,Otu0805,0.382766,0.0136,0.241029778,0.382766,1
Otu0691,Otu1947,0.286105,0.03689,0.315853796,0.286105,1
Otu0705,Otu0711,0.253463,0.03568,0.312683284,0.253463,1
Otu0705,Otu0716,0.339615,0.00808,0.21505,0.339615,1
Otu0705,Otu0772,0.290583,0.02777,0.291381504,0.290583,1
Otu0705,Otu0776,0.298092,0.02307,0.274732081,0.298092,1
Otu0705,Otu0781,0.315476,0.01851,0.26640773,0.315476,1
Otu0705,Otu0797,-0.218644,0.04278,0.336784832,0.218644,1
Otu0705,Otu0809,-0.212038,0.04482,0.337191536,0.212038,1
Otu0705,Otu1899,-0.234888,0.00812,0.21505,0.234888,1
Otu0705,Otu1917,-0.1679,0.04191,0.331046667,0.1679,0
Otu0705,Otu1957,-0.21972,0.02747,0.291381504,0.21972,1
Otu0711,Otu0716,0.580883,5.00E-05,0.013033333,0.580883,2
Otu0711,Otu0772,0.265912,0.04936,0.343922418,0.265912,1
Otu0711,Otu0781,0.267947,0.04873,0.343922418,0.267947,1
Otu0711,Otu0809,-0.25706,0.02973,0.294827143,0.25706,1
Otu0711,Otu1501,-0.188148,0.0464,0.338577037,0.188148,0
Otu0711,Otu1937,0.260329,0.03482,0.312683284,0.260329,1
Otu0716,Otu0745,0.331683,0.01931,0.269532198,0.331683,1
Otu0716,Otu0772,0.283468,0.04432,0.337191536,0.283468,1
Otu0716,Otu0781,0.336424,0.02147,0.270605455,0.336424,1
Otu0716,Otu0798,-0.319345,0.01644,0.251933503,0.319345,1
Otu0716,Otu1404,-0.237734,0.03407,0.311735019,0.237734,1
Otu0716,Otu1858,-0.192578,0.04553,0.337191536,0.192578,0
Otu0716,Otu1937,0.337003,0.01192,0.235893071,0.337003,1
Otu0728,Otu0772,0.352498,0.02072,0.269532198,0.352498,1
Otu0728,Otu0781,0.453298,0.00399,0.170085,0.453298,2
Otu0728,Otu0792,0.352609,0.0223,0.271187876,0.352609,1
Otu0728,Otu0796,0.359227,0.02125,0.270605455,0.359227,1
Otu0728,Otu0798,0.373821,0.01755,0.257185714,0.373821,1
Otu0728,Otu0800,-0.270759,0.00971,0.22494,0.270759,1
Otu0728,Otu0945,0.42396,0.0061,0.190808,0.42396,2
Otu0728,Otu1109,-0.229463,0.03287,0.304794545,0.229463,1
Otu0728,Otu1149,-0.236711,0.00944,0.2214624,0.236711,1
Otu0728,Otu1797,0.319032,0.02058,0.269532198,0.319032,1
Otu0728,Otu1897,-0.300346,0.00384,0.16997434,0.300346,1
Otu0728,Otu1903,-0.221814,0.04717,0.339450368,0.221814,1
Otu0728,Otu1907,-0.272327,0.01678,0.251933503,0.272327,1
Otu0728,Otu1915,-0.278041,0.02431,0.27924233,0.278041,1
Otu0728,Otu1935,-0.239824,0.044,0.337191536,0.239824,1
Otu0728,Otu1947,-0.337203,0.00816,0.21505,0.337203,1
Otu0745,Otu0772,0.297904,0.04059,0.328925379,0.297904,1
Otu0745,Otu0776,0.320618,0.02854,0.293661579,0.320618,1
Otu0745,Otu0801,-0.27071,0.04129,0.329477347,0.27071,1
Otu0745,Otu0804,0.34471,0.02205,0.271187876,0.34471,1
Otu0745,Otu0809,0.460328,0.00222,0.130939535,0.460328,2
Otu0745,Otu0918,-0.271613,0.04576,0.337191536,0.271613,1
Otu0745,Otu1717,0.553409,0.00011,0.021505,0.553409,2
Otu0772,Otu0776,0.34168,0.02414,0.278977537,0.34168,1
Otu0772,Otu0781,0.855312,0,0,0.855312,3
Otu0772,Otu1109,-0.235499,0.03178,0.297035378,0.235499,1
Otu0772,Otu1661,-0.31089,0.01352,0.241029778,0.31089,1
Otu0772,Otu1897,-0.2195,0.02685,0.287626027,0.2195,1
Otu0772,Otu1903,-0.259609,0.02955,0.294827143,0.259609,1
