Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0465,Otu0528,-0.323385,0.000616,0.006598795,0.323385,1
Otu0465,Otu0776,0.294252,0.007372,0.039618947,0.294252,1
Otu0465,Otu0781,0.289752,0.008132,0.042342439,0.289752,1
Otu0465,Otu1501,0.354002,0.001408,0.012055358,0.354002,1
Otu0465,Otu1891,-0.325564,0.000424,0.005153907,0.325564,1
Otu0465,Otu1900,-0.340936,0.000376,0.004768086,0.340936,1
Otu0465,Otu1947,-0.325669,0.00044,0.005320825,0.325669,1
Otu0501,Otu0886,0.245581,0.008496,0.04323561,0.245581,1
Otu0501,Otu1661,-0.224358,0.007588,0.040296,0.224358,1
Otu0501,Otu1947,-0.26307,0.00176,0.014188866,0.26307,1
Otu0528,Otu0745,0.349161,0.002784,0.019791709,0.349161,1
Otu0528,Otu0801,0.326045,0.005304,0.032035866,0.326045,1
Otu0528,Otu0967,0.362429,0.001312,0.011399822,0.362429,1
Otu0528,Otu1501,-0.346585,0.000348,0.004510541,0.346585,1
Otu0528,Otu1661,0.305215,0.005852,0.033787,0.305215,1
Otu0528,Otu1858,0.358973,0.001456,0.012365199,0.358973,1
Otu0528,Otu1891,0.385582,0.001468,0.01238823,0.385582,1
Otu0528,Otu1897,-0.235712,0.005244,0.031789209,0.235712,1
Otu0528,Otu1900,0.29264,0.010184,0.049058858,0.29264,1
Otu0528,Otu1947,0.386947,0.000976,0.009345698,0.386947,1
Otu0552,Otu0616,0.725206,0,0,0.725206,3
Otu0552,Otu0664,0.301202,0.008336,0.042792683,0.301202,1
Otu0552,Otu0669,0.602966,0,0,0.602966,3
Otu0552,Otu0691,0.330692,0.005228,0.031774321,0.330692,1
Otu0552,Otu0711,-0.279659,0.0047,0.029247215,0.279659,1
Otu0552,Otu0716,0.681305,0,0,0.681305,3
Otu0552,Otu0728,0.336263,0.007592,0.040296,0.336263,1
Otu0552,Otu0790,0.544824,4.00E-06,0.000144369,0.544824,2
Otu0552,Otu0792,0.369073,0.00204,0.015899801,0.369073,1
